,contrast,estimate,SE,df,t.ratio,p.value
1,Which country was the study conducted in - (Provide some background as to the drivers and/or motivators of community-based fisheries management.),0.939393939,0.09930329,1046,9.459847068,5.50E-13
6,Which country was the study conducted in - How was the data on benefits collected,0.737373737,0.09930329,1046,7.425471355,1.33E-11
25,What management mechanisms are used - Guidelines for future implementation of CBFM,-0.414141414,0.09930329,1046,-4.170470213,0.00163805
51,(What are the reported barriers to success of Community-Based Fisheries Management) - How does the community monitor the system they are managing,0.252525253,0.09930329,1046,2.542969642,0.280843571
33,(Which groups of people are involved in the management as part of the CBFM case-studies) - How does the community monitor the system they are managing,0.242424242,0.09930329,1046,2.441250856,0.341237404
35,(What benefits of Community-Based Fisheries Management are reported in this case study) - What are the indicators of success of CBFM,0.232323232,0.09930329,1046,2.339532071,0.407524602
15,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - How was the data on benefits collected,-0.202020202,0.09930329,1046,-2.034375714,0.624726333
45,What are the indicators of success of CBFM - How does the community make decisions,-0.191919192,0.09930329,1046,-1.932656928,0.695577302
9,Which country was the study conducted in - How does the community monitor the system they are managing,0.98989899,0.660068232,2041890.534,1.499691914,0.92040255
39,(What benefits of Community-Based Fisheries Management are reported in this case study) - How does the community monitor the system they are managing,0.949494949,0.660068232,2041890.534,1.438479999,0.938832589
55,How does the community monitor the system they are managing - How does the community make decisions,-0.909090909,0.660068232,2041890.534,-1.377268084,0.954050921
13,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (What benefits of Community-Based Fisheries Management are reported in this case study),-0.898989899,0.660068232,2041890.534,-1.361965105,0.957383122
2,Which country was the study conducted in - What management mechanisms are used,0.898989899,0.660068232,2041890.534,1.361965105,0.957383122
21,What management mechanisms are used - (What benefits of Community-Based Fisheries Management are reported in this case study),-0.858585859,0.660068232,2041890.534,-1.300753191,0.968964733
19,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - How does the community make decisions,-0.858585859,0.660068232,2041890.534,-1.300753191,0.968964733
27,What management mechanisms are used - How does the community make decisions,-0.818181818,0.660068232,2041890.534,-1.239541276,0.978006354
3,Which country was the study conducted in - (Which groups of people are involved in the management as part of the CBFM case-studies),0.747474747,0.660068232,2041890.534,1.132420425,0.988810412
7,Which country was the study conducted in - (What are the reported barriers to success of Community-Based Fisheries Management),0.737373737,0.660068232,2041890.534,1.117117446,0.989924279
44,What are the indicators of success of CBFM - How does the community monitor the system they are managing,0.717171717,0.660068232,2041890.534,1.086511489,0.991885345
28,(Which groups of people are involved in the management as part of the CBFM case-studies) - (What benefits of Community-Based Fisheries Management are reported in this case study),-0.707070707,0.660068232,2041890.534,-1.07120851,0.992743069
37,(What benefits of Community-Based Fisheries Management are reported in this case study) - (What are the reported barriers to success of Community-Based Fisheries Management),0.696969697,0.660068232,2041890.534,1.055905531,0.993525709
36,(What benefits of Community-Based Fisheries Management are reported in this case study) - How was the data on benefits collected,0.696969697,0.660068232,2041890.534,1.055905531,0.993525709
34,(Which groups of people are involved in the management as part of the CBFM case-studies) - How does the community make decisions,-0.666666667,0.660068232,2041890.534,-1.009996595,0.995471325
14,(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - What are the indicators of success of CBFM,-0.666666667,0.660068232,2041890.534,-1.009996595,0.995471325
52,(What are the reported barriers to success of Community-Based Fisheries Management) - How does the community make decisions,-0.656565657,0.660068232,2041890.534,-0.994693616,0.996000983
49,How was the data on benefits collected - How does the community make decisions,-0.656565657,0.660068232,2041890.534,-0.994693616,0.996000983
22,What management mechanisms are used - What are the indicators of success of CBFM,-0.626262626,0.660068232,2041890.534,-0.94878468,0.997292197
53,Guidelines for future implementation of CBFM - How does the community monitor the system they are managing,0.505050505,0.660068232,2041890.534,0.765148936,0.999576675
8,Which country was the study conducted in - Guidelines for future implementation of CBFM,0.484848485,0.660068232,2041890.534,0.734542978,0.999706021
29,(Which groups of people are involved in the management as part of the CBFM case-studies) - What are the indicators of success of CBFM,-0.474747475,0.660068232,2041890.534,-0.71924,0.999756736
41,What are the indicators of success of CBFM - How was the data on benefits collected,0.464646465,0.660068232,2041890.534,0.703937021,0.999799695
