contrast,estimate,SE,df,z.ratio,p.value
Which country was the study conducted in - (Which groups of people are involved in the management as part of the CBFM case-studies),0.596768887,0.048461467,Inf,12.31429673,0
Which country was the study conducted in - How does the community make decisions,0.56394181,0.048461467,Inf,11.63691159,0
Which country was the study conducted in - How was the data on benefits collected,0.474575229,0.04209113,Inf,11.27494624,1.71E-14
Which country was the study conducted in - (Provide some background as to the drivers and/or motivators of community-based fisheries management.),0.397134152,0.04209113,Inf,9.435103086,9.98E-14
Which country was the study conducted in - How does the community monitor the system they are managing,0.52942882,0.048461467,Inf,10.92473774,1.03E-13
Which country was the study conducted in - What are the indicators of success of CBFM,0.505019251,0.048461467,Inf,10.42104748,1.13E-13
Which country was the study conducted in - What management mechanisms are used,0.464224945,0.049865699,Inf,9.309504412,1.14E-13
Which country was the study conducted in - (What are the reported barriers to success of Community-Based Fisheries Management),0.345927136,0.048461467,Inf,7.138189498,5.21E-11
(Which groups of people are involved in the management as part of the CBFM case-studies) - Guidelines for future implementation of CBFM,-0.341298151,0.049785571,Inf,-6.855362802,3.91E-10
(What benefits of Community-Based Fisheries Management are reported in this case study) - How does the community make decisions,0.286195286,0.042036957,Inf,6.808182766,5.43E-10
(Which groups of people are involved in the management as part of the CBFM case-studies) - (What benefits of Community-Based Fisheries Management are reported in this case study),-0.319022364,0.048378908,Inf,-6.594244876,2.35E-09
Guidelines for future implementation of CBFM - How does the community make decisions,0.308471073,0.049785571,Inf,6.195993491,3.18E-08
(Which groups of people are involved in the management as part of the CBFM case-studies) - (What are the reported barriers to success of Community-Based Fisheries Management),-0.250841751,0.042036957,Inf,-5.967171953,1.32E-07
Which country was the study conducted in - (What benefits of Community-Based Fisheries Management are reported in this case study),0.277746523,0.048461467,Inf,5.731285893,5.45E-07
Guidelines for future implementation of CBFM - How does the community monitor the system they are managing,0.273958083,0.049785571,Inf,5.502760709,2.04E-06
(What benefits of Community-Based Fisheries Management are reported in this case study) - What are the indicators of success of CBFM,0.227272727,0.042036957,Inf,5.406498079,3.49E-06
(What benefits of Community-Based Fisheries Management are reported in this case study) - How does the community monitor the system they are managing,0.251682296,0.048378908,Inf,5.202314578,1.06E-05
Which country was the study conducted in - Guidelines for future implementation of CBFM,0.255470737,0.049865699,Inf,5.123175679,1.62E-05
What are the indicators of success of CBFM - Guidelines for future implementation of CBFM,-0.249548514,0.049785571,Inf,-5.012466659,2.89E-05
What management mechanisms are used - Guidelines for future implementation of CBFM,-0.208754209,0.042036957,Inf,-4.965968606,3.66E-05
(What are the reported barriers to success of Community-Based Fisheries Management) - How does the community make decisions,0.218014673,0.048378908,Inf,4.506399255,0.000343039
How was the data on benefits collected - Guidelines for future implementation of CBFM,-0.219104492,0.049790365,Inf,-4.400539996,0.000556056
(What are the reported barriers to success of Community-Based Fisheries Management) - How does the community monitor the system they are managing,0.183501684,0.042036957,Inf,4.365246597,0.00065143
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (Which groups of people are involved in the management as part of the CBFM case-studies),0.199634736,0.048383867,Inf,4.126059943,0.001835754
(What benefits of Community-Based Fisheries Management are reported in this case study) - How was the data on benefits collected,0.196828706,0.048383867,Inf,4.068064789,0.00233694
What management mechanisms are used - (What benefits of Community-Based Fisheries Management are reported in this case study),-0.186478422,0.049785571,Inf,-3.745631892,0.008318164
(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - How does the community make decisions,0.166807658,0.048383867,Inf,3.447588387,0.023992882
What are the indicators of success of CBFM - (What are the reported barriers to success of Community-Based Fisheries Management),-0.159092114,0.048378908,Inf,-3.288460243,0.040274556
