"","group_agent","AI","Criteria","Citation","mean","standard_error","st_dev","difficulty_mean","st_dev_difficulty","standard_error_difficulty","Extractor"
"1","Human Assessor","Elicit","AI Response to Human Response","Centralised and community-based fisheries manageme",0.545454545454545,0.207304622745298,0.687551650952329,1.33333333333333,0.5,0.150755672288882,3
"2","Human Assessor","Elicit","AI Response to Human Response","Community-based fishery management - towards restoration of traditional",0.272727272727273,0.237061905643733,0.786245393106896,1.14285714285714,0.377964473009227,0.113960576459638,3
"3","Human Assessor","Elicit","AI Response to Human Response","Effectiveness of village-based marine reserves on",0.454545454545455,0.24729946379519,0.820199532264724,1.11111111111111,0.333333333333333,0.100503781525921,3
"4","Human Assessor","Elicit","AI Response to Human Response","Effects of small Fijian community-based marine pr",0.545454545454545,0.207304622745298,0.687551650952329,1.66666666666667,0.577350269189626,0.174077655955698,5
"5","Human Assessor","Elicit","AI Response to Human Response","Evaluation of the effectiveness of three underwate",0.363636363636364,0.203278907045435,0.674199862463242,1.33333333333333,0.5,0.150755672288882,5
"6","Human Assessor","Elicit","AI Response to Human Response","Indicators of coral reef ecosystem recovery follow",0.0909090909090909,0.250619068219822,0.831209414593634,1.625,0.744023809142845,0.224331619092529,4
"7","Human Assessor","Elicit","AI Response to Human Response","Indigenous Resource Management and Sustainable Dev",0.0909090909090909,0.250619068219822,0.831209414593634,1.55555555555556,0.52704627669473,0.158910431540932,4
"8","Human Assessor","Elicit","AI Response to Human Response","Indigenous knowledge and long-term ecological chan",0.0909090909090909,0.28459046986361,0.943879807448539,1,0,0,3
"9","Human Assessor","Elicit","AI Response to Human Response","Predicting impact to assess the efficacy of commun",0.0909090909090909,0.211253637065859,0.700649049745371,1.5,0.547722557505166,0.165144564768954,4
"10","Human Assessor","Elicit","AI Response to Human Response","Sustainable financing of a national Marine Protect",-0.0909090909090909,0.28459046986361,0.943879807448539,1.5,0.707106781186548,0.21320071635561,5
"11","Human Assessor","Elicit","AI Response to Human Response","The reimplementation of the Ra'ui Coral reef mana",0.454545454545455,0.207304622745298,0.687551650952329,2.125,0.640869944461656,0.193229558654111,5
"12","Human Assessor","Elicit","AI Response to Human Response","_A SocialaEUREcological Systems Approach to Assessin",0.454545454545455,0.207304622745298,0.687551650952329,1.63636363636364,0.674199862463242,0.203278907045435,4
"13","Human Assessor","Elicit","AI Response to Human Response","_A network of small community-owned village fish re",0.363636363636364,0.278721994850107,0.924416277737175,2.09090909090909,1.04446593573419,0.314918328648887,3
"14","Human Assessor","Elicit","AI Response to Human Response","_Adaptive capacity of marine comanagement a compar",0.545454545454545,0.207304622745298,0.687551650952329,1.36363636363636,0.674199862463242,0.203278907045435,5
"15","Human Assessor","Elicit","AI Response to Human Response","_Community management yields positive impacts for c",0.363636363636364,0.243934688454523,0.80903983495589,1.625,0.744023809142845,0.224331619092529,4
"16","Human Assessor","Elicit","AI Response to Human Response","_Community-based management fails to halt declines",0.181818181818182,0.263479577203444,0.873862897505303,1.66666666666667,0.5,0.150755672288882,4
"17","Human Assessor","Elicit","AI Response to Human Response","_Community-based management of near-shore fisheries",0,0.233549683248457,0.774596669241483,1.7,0.483045891539648,0.145643816250884,4
"18","Human Assessor","Elicit","AI Response to Human Response","_Customary sea tenure in Oceania as a case of right",0.272727272727273,0.272727272727273,0.904534033733291,2,0.632455532033676,0.190692517849118,3
"19","Human Assessor","Elicit","AI Response to Human Response","_Dispersal of grouper larvae drives local resource",0.454545454545455,0.207304622745298,0.687551650952329,1.55555555555556,0.52704627669473,0.158910431540932,4
"20","Human Assessor","Elicit","AI Response to Human Response","_Evaluation of coral reef management effectiveness",0.181818181818182,0.226361810872522,0.750757193529548,1.81818181818182,0.981649817214043,0.295978556292722,3
"21","Human Assessor","Elicit","AI Response to Human Response","_Fishing dynamics associated with periodically harv",0.181818181818182,0.263479577203444,0.873862897505303,1.75,0.462910049886276,0.139572631559771,3
"22","Human Assessor","Elicit","AI Response to Human Response","_Fishing in the dark-local knowledge night spearfi",0.272727272727273,0.237061905643733,0.786245393106896,1.90909090909091,0.831209414593634,0.250619068219822,3
"23","Human Assessor","Elicit","AI Response to Human Response","_Livelihoods and fisheries governance in a contempo",0.545454545454545,0.207304622745298,0.687551650952329,1.75,0.886405260427918,0.267261241912424,4
"24","Human Assessor","Elicit","AI Response to Human Response","_Locally managed marine areas Implications for soc",0.363636363636364,0.203278907045435,0.674199862463242,1,0,0,5
"25","Human Assessor","Elicit","AI Response to Human Response","_Multiple drivers of local (non-) compliance in com",0.545454545454545,0.207304622745298,0.687551650952329,1.85714285714286,0.899735410842437,0.27128043348733,5
"26","Human Assessor","Elicit","AI Response to Human Response","_One size does not fit all Critical insights for e",0.272727272727273,0.237061905643733,0.786245393106896,2.28571428571429,0.755928946018454,0.227921152919276,5
"27","Human Assessor","Elicit","AI Response to Human Response","_Small-scale managed marine areas over time Develo",0.181818181818182,0.226361810872522,0.750757193529548,1.5,0.52704627669473,0.158910431540932,4
"28","Human Assessor","Elicit","AI Response to Human Response","_Social and economic challenges to community-based",0.363636363636364,0.203278907045435,0.674199862463242,1.9,0.737864787372622,0.222474604157305,4
"29","Human Assessor","Elicit","AI Response to Human Response","_Social attitudes towards marine resource managemen",-0.0909090909090909,0.250619068219822,0.831209414593634,1.44444444444444,0.52704627669473,0.158910431540932,4
"30","Human Assessor","Elicit","AI Response to Human Response","_The renaissance of community-based marine resource",-0.0909090909090909,0.250619068219822,0.831209414593634,1.7,0.483045891539648,0.145643816250884,5
"31","Human Assessor","Elicit","AI Response to Human Response","_Tracing innovation pathways behind fisheries co-ma",0.454545454545455,0.207304622745298,0.687551650952329,1.8,0.836660026534076,0.252262489554756,5
"32","Human Assessor","Elicit","AI Response to Human Response","__Community-based management of subsistence fisherie",0.0909090909090909,0.250619068219822,0.831209414593634,1.33333333333333,0.5,0.150755672288882,3
"33","Human Assessor","Elicit","AI Response to Human Response","__Strengthening post-hoc analysis of community-basedp",0.363636363636364,0.203278907045435,0.674199862463242,1.63636363636364,0.674199862463242,0.203278907045435,4
"34","Human Assessor","Elicit","Context to Question","Centralised and community-based fisheries manageme",0.363636363636364,0.203278907045435,0.674199862463242,1.33333333333333,0.5,0.150755672288882,3
"35","Human Assessor","Elicit","Context to Question","Community-based fishery management - towards restoration of traditional",0.363636363636364,0.203278907045435,0.674199862463242,1.14285714285714,0.377964473009227,0.113960576459638,3
"36","Human Assessor","Elicit","Context to Question","Effectiveness of village-based marine reserves on",0.454545454545455,0.207304622745298,0.687551650952329,1.11111111111111,0.333333333333333,0.100503781525921,3
"37","Human Assessor","Elicit","Context to Question","Effects of small Fijian community-based marine pr",0.545454545454545,0.157459164324443,0.522232967867094,1.66666666666667,0.577350269189626,0.174077655955698,5
"38","Human Assessor","Elicit","Context to Question","Evaluation of the effectiveness of three underwate",0.454545454545455,0.207304622745298,0.687551650952329,1.33333333333333,0.5,0.150755672288882,5
"39","Human Assessor","Elicit","Context to Question","Indicators of coral reef ecosystem recovery follow",0.363636363636364,0.203278907045435,0.674199862463242,1.625,0.744023809142845,0.224331619092529,4
"40","Human Assessor","Elicit","Context to Question","Indigenous Resource Management and Sustainable Dev",0.545454545454545,0.207304622745298,0.687551650952329,1.55555555555556,0.52704627669473,0.158910431540932,4
"41","Human Assessor","Elicit","Context to Question","Indigenous knowledge and long-term ecological chan",0.636363636363636,0.152120004824377,0.504524979109513,1,0,0,3
"42","Human Assessor","Elicit","Context to Question","Predicting impact to assess the efficacy of commun",0.363636363636364,0.243934688454523,0.80903983495589,1.5,0.547722557505166,0.165144564768954,4
"43","Human Assessor","Elicit","Context to Question","Sustainable financing of a national Marine Protect",0,0.269679944985297,0.894427190999916,1.5,0.707106781186548,0.21320071635561,5
