"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"1","__Community-based management of subsistence fisherie","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"3"
"2","__Community-based management of subsistence fisherie","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"3"
"3","__Community-based management of subsistence fisherie","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"3"
"4","__Community-based management of subsistence fisherie","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",NA,"3"
"5","__Community-based management of subsistence fisherie","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",1,"R1",NA,"3"
"6","__Community-based management of subsistence fisherie","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",NA,"3"
"7","__Community-based management of subsistence fisherie","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"3"
"8","__Community-based management of subsistence fisherie","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"3"
"9","__Community-based management of subsistence fisherie","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"3"
"10","__Community-based management of subsistence fisherie","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"3"
"11","__Community-based management of subsistence fisherie","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"3"
"12","__Community-based management of subsistence fisherie","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"3"
"13","__Community-based management of subsistence fisherie","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",2,"R4",2,"3"
"14","__Community-based management of subsistence fisherie","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"3"
"15","__Community-based management of subsistence fisherie","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",2,"3"
"16","__Community-based management of subsistence fisherie","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"3"
"17","__Community-based management of subsistence fisherie","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",1,"3"
"18","__Community-based management of subsistence fisherie","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",1,"3"
"19","__Community-based management of subsistence fisherie","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",NA,"3"
"20","__Community-based management of subsistence fisherie","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",NA,"3"
"21","__Community-based management of subsistence fisherie","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",NA,"3"
"22","__Community-based management of subsistence fisherie","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"3"
"23","__Community-based management of subsistence fisherie","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"3"
