"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Which country was the study conducted in Elicit - (Provide some background as to the drivers and/or motivators of community-based fisheries management. Elicit)",1.18181818181813,0.164818905853912,1024.00000000077,7.1704042427368,7.54931672730663e-10
"2","Which country was the study conducted in Elicit - What management mechanisms are used Elicit",0.727272727272736,0.699780057532609,332750.024797879,1.03928758678415,0.999999988541895
"3","Which country was the study conducted in Elicit - (Which groups of people are involved in the management as part of the CBFM case-studies Elicit)",0.757575757574899,0.699780057532516,332750.024814269,1.08259123623239,0.999999966768656
"4","Which country was the study conducted in Elicit - (What benefits of Community-Based Fisheries Management are reported in this case study Elicit)",-0.0606060606067092,0.699780057532488,332750.024814269,-0.0866072988996197,1
"5","Which country was the study conducted in Elicit - What are the indicators of success of CBFM Elicit",0.121212121211473,0.699780057532488,332750.024814269,0.173214597796458,1
"6","Which country was the study conducted in Elicit - How was the data on benefits collected Elicit",0.969696969696914,0.164818905853912,1024.0000000007,5.88340860942501,2.82102981574717e-06
"7","Which country was the study conducted in Elicit - (What are the reported barriers to success of Community-Based Fisheries Management Elicit)",0.696969696968837,0.699780057532515,332750.024814269,0.995983937333699,0.99999999629452
"8","Which country was the study conducted in Elicit - Guidelines for future implementation of CBFM Elicit",0.666666666666675,0.699780057532609,332750.024797879,0.952680287885468,0.999999998881955
"9","Which country was the study conducted in Elicit - How does the community monitor the system they are managing Elicit",1.12121212121126,0.699780057532516,332750.024814269,1.60223502962453,0.999716039875388
"10","Which country was the study conducted in Elicit - How does the community make decisions Elicit",0.0909090909084419,0.699780057532488,332750.024814269,0.129910948347112,1
"11","Which country was the study conducted in Elicit - Which country was the study conducted in GPT4x1",0.636363636363579,0.164818905853911,1024.00000000077,3.86098689993505,0.0414674424045436
"12","Which country was the study conducted in Elicit - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x1)",1.18181818181813,0.164818905853912,1024.00000000054,7.17040424273684,7.54931672730663e-10
"13","Which country was the study conducted in Elicit - What management mechanisms are used GPT4x1",1.51515151515153,0.69978005753261,332750.024797879,2.16518247246696,0.961336674263956
"14","Which country was the study conducted in Elicit - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x1)",1.18181818181733,0.699780057532514,332750.024806074,1.68884232852322,0.999220215090226
"15","Which country was the study conducted in Elicit - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x1)",0.666666666666022,0.699780057532487,332750.024814269,0.9526802878847,0.999999998881955
"16","Which country was the study conducted in Elicit - What are the indicators of success of CBFM GPT4x1",0.878787878787234,0.699780057532487,332750.024814269,1.25580583403013,0.999998653079466
"17","Which country was the study conducted in Elicit - How was the data on benefits collected GPT4x1",1.03030303030298,0.164818905853912,1024.00000000054,6.25112164751413,3.12531425850082e-07
"18","Which country was the study conducted in Elicit - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x1)",1.27272727272642,0.699780057532514,332750.024806074,1.81875327687126,0.997081799594409
"19","Which country was the study conducted in Elicit - Guidelines for future implementation of CBFM GPT4x1",0.90909090909092,0.69978005753261,332750.024797879,1.29910948348018,0.999996991551097
"20","Which country was the study conducted in Elicit - How does the community monitor the system they are managing GPT4x1",1.33333333333248,0.699780057532514,332750.024806074,1.90536057576995,0.993738615375734
"21","Which country was the study conducted in Elicit - How does the community make decisions GPT4x1",0.545454545453901,0.699780057532487,332750.024814269,0.779465690087315,0.999999999995988
"22","Which country was the study conducted in Elicit - Which country was the study conducted in GPT4x3",0.181818181818123,0.164818905853911,1024.0000000007,1.1031391142669,0.999999937771574
"23","Which country was the study conducted in Elicit - (Provide some background as to the drivers and/or motivators of community-based fisheries management. GPT4x3)",1.27272727272722,0.164818905853912,1024.00000000054,7.72197379987047,1.4940826353893e-11
"24","Which country was the study conducted in Elicit - What management mechanisms are used GPT4x3",1.27272727272728,0.69978005753261,332750.024806074,1.81875327687225,0.997081799594382
"25","Which country was the study conducted in Elicit - (Which groups of people are involved in the management as part of the CBFM case-studies GPT4x3)",1.12121212121127,0.699780057532514,332750.024806074,1.60223502962453,0.999716039875388
"26","Which country was the study conducted in Elicit - (What benefits of Community-Based Fisheries Management are reported in this case study GPT4x3)",0.333333333332689,0.699780057532487,332750.024814269,0.47634014394189,1
"27","Which country was the study conducted in Elicit - What are the indicators of success of CBFM GPT4x3",0.636363636362992,0.699780057532487,332750.024814269,0.909376638435354,0.999999999686976
"28","Which country was the study conducted in Elicit - How was the data on benefits collected GPT4x3",1.03030303030298,0.164818905853912,1024.00000000054,6.25112164751413,3.12531425850082e-07
"29","Which country was the study conducted in Elicit - (What are the reported barriers to success of Community-Based Fisheries Management GPT4x3)",1.0606060606052,0.699780057532514,332750.024806074,1.51562773072584,0.999908027899049
"30","Which country was the study conducted in Elicit - Guidelines for future implementation of CBFM GPT4x3",0.696969696969708,0.69978005753261,332750.024797879,0.995983937334808,0.99999999629452
"31","Which country was the study conducted in Elicit - How does the community monitor the system they are managing GPT4x3",1.33333333333248,0.699780057532514,332750.024806074,1.90536057576995,0.993738615375734
"32","Which country was the study conducted in Elicit - How does the community make decisions GPT4x3",0.42424242424178,0.699780057532487,332750.024814269,0.60625109228993,1
