"","contrast","estimate","SE","df","z.ratio","p.value"
"1","Which country was the study conducted in - (Provide some background as to the drivers and/or motivators of community-based fisheries management.)",0.397134151664987,0.0420911301195403,Inf,9.43510308554586,9.98090499138016e-14
"2","Which country was the study conducted in - What management mechanisms are used",0.464224945403537,0.0498656990574373,Inf,9.30950441241833,1.13686837721616e-13
"3","Which country was the study conducted in - (Which groups of people are involved in the management as part of the CBFM case-studies)",0.596768887190714,0.0484614672176926,Inf,12.3142967279546,0
"4","Which country was the study conducted in - (What benefits of Community-Based Fisheries Management are reported in this case study)",0.277746523436907,0.0484614672176926,Inf,5.73128589337274,5.44909352639955e-07
"5","Which country was the study conducted in - What are the indicators of success of CBFM",0.505019250709635,0.0484614672176927,Inf,10.421047477598,1.13353770814228e-13
"6","Which country was the study conducted in - How was the data on benefits collected",0.474575229106065,0.0420911301195403,Inf,11.2749462358994,1.70974345792274e-14
"7","Which country was the study conducted in - (What are the reported barriers to success of Community-Based Fisheries Management)",0.345927136348963,0.0484614672176926,Inf,7.13818949795787,5.20711251894568e-11
"8","Which country was the study conducted in - Guidelines for future implementation of CBFM",0.255470736649329,0.0498656990574373,Inf,5.12317567943984,1.62075850355103e-05
"9","Which country was the study conducted in - How does the community monitor the system they are managing",0.529428819850647,0.0484614672176927,Inf,10.9247377400361,1.02806652080289e-13
"10","Which country was the study conducted in - How does the community make decisions",0.563941809632194,0.0484614672176927,Inf,11.6369115920268,0
"11","(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - What management mechanisms are used",0.0670907937385499,0.0497903649642079,Inf,1.34746539389254,0.960374463297183
"12","(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (Which groups of people are involved in the management as part of the CBFM case-studies)",0.199634735525727,0.0483838669984824,Inf,4.12605994332756,0.00183575390172441
"13","(Provide some background as to the drivers and/or motivators of community-based fisheries management.) - (What benefits of Community-Based Fisheries Management are reported in this case study)",-0.11938762822808,0.0483838669984825,Inf,-2.46750901972809,0.323797668731791
